ward_id,ward_name,ward_number,ward_type,centroid_lon,centroid_lat,district,historical_annual_avg_mm,current_jan2026_mm,climate_normal_jan_mm,climate_normal_feb_mm,climate_normal_mar_mm,climate_normal_apr_mm,climate_normal_may_mm,climate_normal_jun_mm,climate_normal_jul_mm,climate_normal_aug_mm,climate_normal_sep_mm,climate_normal_oct_mm,climate_normal_nov_mm,climate_normal_dec_mm,rainfall_zone,is_urban_core,proximity_to_yamuna_km
DEL_CANTT_001,DELHI CANTT CHARGE 1,1,CANTT,77.1305495455,28.6220034015,SOUTH WEST DELHI,679.5,14.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,West,0,12.5
DEL_CANTT_002,DELHI CANTT CHARGE 2,2,CANTT,77.13936651,28.6102292395,SOUTH WEST DELHI,679.5,14.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,West,0,13.0
DEL_CANTT_003,DELHI CANTT CHARGE 3,3,CANTT,77.1478466065,28.5937737345,SOUTH WEST DELHI,679.5,14.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,West,0,14.2
DEL_CANTT_004,DELHI CANTT CHARGE 4,4,CANTT,77.1433460465,28.5659240585,SOUTH WEST DELHI,679.5,14.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,West,0,15.8
DEL_CANTT_005,DELHI CANTT CHARGE 5,5,CANTT,77.133841871,28.574743257,SOUTH WEST DELHI,679.5,14.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,West,0,14.5
DEL_CANTT_006,DELHI CANTT CHARGE 6,6,CANTT,77.106268083,28.5731835735,SOUTH WEST DELHI,679.5,14.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,West,0,16.3
DEL_CANTT_007,DELHI CANTT CHARGE 7,7,CANTT,77.110054482,28.5948579,SOUTH WEST DELHI,679.5,14.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,West,0,14.0
DEL_CANTT_008,DELHI CANTT CHARGE 8,8,CANTT,77.1236010765,28.6003754045,SOUTH WEST DELHI,679.5,14.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,West,0,13.2
DEL_NDMC_001,NDMC CHARGE 1,1,NDMC,77.228641083,28.616813283,NEW DELHI,705.3,19.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,Central,1,5.8
DEL_NDMC_002,NDMC CHARGE 2,2,NDMC,77.212722936,28.637418175,NEW DELHI,705.3,19.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,Central,1,4.2
