ward_id,ward_name,ward_number,ward_type,centroid_lon,centroid_lat,bounds_min_lon,bounds_min_lat,bounds_max_lon,bounds_max_lat
DEL_CANTT_001,DELHI CANTT CHARGE 1,1,CANTT,77.13054954550006,28.622003401500052,77.12380768900005,28.612462064000056,77.13729140200007,28.63154473900005
DEL_CANTT_002,DELHI CANTT CHARGE 2,2,CANTT,77.13936651000006,28.610229239500057,77.11411486700007,28.595529200000044,77.16461815300005,28.62492927900007
DEL_CANTT_003,DELHI CANTT CHARGE 3,3,CANTT,77.14784660650005,28.593773734500076,77.12636788800006,28.58346079900008,77.16932532500005,28.604086670000072
DEL_CANTT_004,DELHI CANTT CHARGE 4,4,CANTT,77.14334604650006,28.56592405850003,77.12034019200007,28.538622060000023,77.16635190100004,28.593226057000038
DEL_CANTT_005,DELHI CANTT CHARGE 5,5,CANTT,77.13384187100004,28.57474325700005,77.12104087800003,28.563383169000076,77.14664286400006,28.586103345000026
DEL_CANTT_006,DELHI CANTT CHARGE 6,6,CANTT,77.10626808300006,28.573183573500074,77.07773309800007,28.551579364000077,77.13480306800005,28.594787783000072
DEL_CANTT_007,DELHI CANTT CHARGE 7,7,CANTT,77.11005448200007,28.59485790000005,77.09537601000005,28.581338826000035,77.12473295400008,28.608376974000066
DEL_CANTT_008,DELHI CANTT CHARGE 8,8,CANTT,77.12360107650005,28.600375404500056,77.11245298400007,28.590276066000058,77.13474916900003,28.610474743000054
DEL_NDMC_001,NDMC CHARGE 1,1,NDMC,77.22864108300004,28.616813283000056,77.21639704600005,28.597217088000036,77.24088512000003,28.636409478000076
DEL_NDMC_002,NDMC CHARGE 2,2,NDMC,77.21272293600006,28.63741817500005,77.20179942200008,28.627263267000046,77.22364645000005,28.647573083000054
DEL_NDMC_003,NDMC CHARGE 3,3,NDMC,77.18619568550005,28.619796772500052,77.16635190100004,28.59440918400003,77.20603947000006,28.645184361000076
DEL_NDMC_004,NDMC CHARGE 4,4,NDMC,77.21527864300003,28.62117535750005,77.19969736400003,28.61086116900003,77.23085992200004,28.63148954600007
DEL_NDMC_005,NDMC CHARGE 5,5,NDMC,77.22106828500006,28.60168441850007,77.19848463900007,28.589471509000077,77.24365193100004,28.613897328000064
DEL_NDMC_006,NDMC CHARGE 6,6,NDMC,77.21827901600005,28.58489630650007,77.21160004200004,28.579224699000065,77.22495799000006,28.590567914000076
DEL_NDMC_007,NDMC CHARGE 7,7,NDMC,77.20409910950005,28.570621317000047,77.18953741900003,28.560400782000045,77.21866080000007,28.58084185200005
